,Unnamed: 0,Unnamed: 0.1,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,lebel
55,55,55,42.0,0.0,13.5,1.12,33.0,0.0,bending1
56,56,56,41.75,0.43,13.0,1.22,33.0,0.0,bending1
57,57,57,41.75,0.43,13.25,1.09,33.0,0.0,bending1
58,58,58,41.5,0.5,12.25,0.43,33.0,0.0,bending1
59,59,59,41.67,0.47,13.0,1.0,33.0,0.0,bending1
60,60,60,41.5,0.5,12.5,0.87,33.0,0.0,bending1
61,61,61,41.5,0.5,14.5,0.5,32.75,0.43,bending1
62,62,62,41.33,0.47,14.67,2.49,33.75,1.3,bending1
63,63,63,41.5,0.5,17.5,1.5,33.0,0.0,bending1
64,64,64,41.5,0.5,16.5,1.12,33.75,1.3,bending1
65,65,65,41.75,0.43,15.25,1.09,33.0,0.0,bending1
66,66,66,42.0,0.0,15.75,0.83,33.0,0.0,bending1
67,67,67,41.75,0.43,15.75,0.43,33.0,0.0,bending1
68,68,68,42.0,0.0,15.0,0.0,33.0,0.0,bending1
69,69,69,41.75,0.43,15.33,0.47,33.0,0.0,bending1
70,70,70,42.0,0.0,4.0,0.0,33.0,0.0,bending1
71,71,71,41.75,0.43,9.5,1.8,33.0,0.0,bending1
72,72,72,42.0,0.0,10.67,0.47,33.0,0.0,bending1
73,73,73,41.5,0.5,13.0,1.0,33.75,1.3,bending1
74,74,74,41.5,0.5,9.0,2.16,33.0,0.0,bending1
75,75,75,41.75,0.43,13.5,0.87,33.0,0.0,bending1
76,76,76,42.0,0.0,13.5,7.23,33.0,0.0,bending1
77,77,77,41.75,0.43,10.0,3.08,33.0,0.0,bending1
78,78,78,41.67,0.47,16.33,2.62,33.75,1.3,bending1
79,79,79,42.0,0.0,13.5,0.87,33.0,0.0,bending1
80,80,80,41.75,0.43,13.0,0.71,33.0,0.0,bending1
81,81,81,42.0,0.0,9.25,2.68,33.0,0.0,bending1
82,82,82,42.0,0.0,13.75,2.17,33.0,0.0,bending1
83,83,83,42.0,0.0,18.0,1.22,33.75,1.3,bending1
84,84,84,42.0,0.0,18.25,0.43,35.25,1.3,bending1
85,85,85,42.0,0.0,18.0,0.0,36.0,0.0,bending1
86,86,86,42.0,0.0,17.0,0.82,36.0,0.0,bending1
87,87,87,42.0,0.0,16.0,0.71,33.75,1.3,bending1
88,88,88,42.0,0.0,16.5,1.12,35.0,1.41,bending1
89,89,89,42.0,0.0,15.75,0.83,33.75,1.3,bending1
90,90,90,42.0,0.0,18.0,0.0,33.75,1.3,bending1
91,91,91,42.0,0.0,18.0,0.0,34.75,1.09,bending1
92,92,92,42.0,0.0,18.0,0.0,35.0,1.22,bending1
93,93,93,42.0,0.0,18.0,0.0,34.5,1.5,bending1
94,94,94,42.0,0.0,18.0,0.0,33.67,0.94,bending1
95,95,95,42.0,0.0,19.5,0.5,35.25,1.3,bending1
96,96,96,42.0,0.0,18.0,0.0,35.75,0.43,bending1
97,97,97,42.0,0.0,18.0,0.0,35.0,1.41,bending1
98,98,98,42.0,0.0,18.0,0.0,35.0,1.41,bending1
99,99,99,42.0,0.0,18.0,0.0,35.25,1.3,bending1
100,100,100,42.0,0.0,18.0,0.0,36.0,0.0,bending1
101,101,101,42.0,0.0,18.75,0.83,35.25,1.3,bending1
102,102,102,42.0,0.0,20.25,0.43,35.0,1.22,bending1
103,103,103,42.0,0.0,20.25,0.43,34.25,1.3,bending1
104,104,104,42.0,0.0,19.5,0.5,35.75,0.43,bending1
105,105,105,42.0,0.0,18.75,0.43,35.0,1.22,bending1
106,106,106,42.0,0.0,18.0,0.0,35.0,1.41,bending1
107,107,107,42.0,0.0,18.0,0.0,34.0,1.41,bending1
108,108,108,42.0,0.0,18.0,0.0,35.25,1.3,bending1
109,109,109,42.0,0.0,18.0,0.0,35.25,1.3,bending1
110,110,110,42.0,0.0,18.0,0.0,35.25,1.3,bending1
111,111,111,42.0,0.0,17.75,0.43,36.0,0.0,bending1
112,112,112,42.33,0.47,17.5,0.5,35.0,1.41,bending1
113,113,113,42.0,0.0,17.67,0.47,36.0,0.0,bending1
114,114,114,42.0,0.0,18.0,0.0,35.25,1.3,bending1
115,115,115,42.0,0.0,18.0,0.0,34.5,1.5,bending1
116,116,116,42.0,0.0,19.0,0.71,33.75,1.3,bending1
117,117,117,42.0,0.0,20.0,0.0,33.75,1.3,bending1
118,118,118,42.0,0.0,20.0,0.71,35.0,1.22,bending1
119,119,119,42.0,0.0,19.0,0.0,33.67,0.94,bending1
120,120,120,42.0,0.0,20.4,0.8,35.4,1.2,bending1
121,121,121,42.0,0.0,21.0,0.0,36.0,0.0,bending1
122,122,122,42.0,0.0,20.6,0.49,35.4,1.2,bending1
123,123,123,42.0,0.0,19.33,0.47,34.0,1.41,bending1
124,124,124,42.0,0.0,19.5,0.5,35.75,0.43,bending1
125,125,125,42.0,0.0,19.75,0.43,35.0,1.41,bending1
126,126,126,42.0,0.0,19.5,0.5,34.5,1.5,bending1
127,127,127,42.0,0.0,20.5,0.5,33.75,1.3,bending1
128,128,128,42.0,0.0,20.67,0.47,34.5,1.5,bending1
129,129,129,42.0,0.0,20.25,0.43,34.5,1.5,bending1
130,130,130,42.0,0.0,20.0,0.0,35.25,1.3,bending1
131,131,131,42.0,0.0,19.75,0.43,33.75,1.3,bending1
132,132,132,42.0,0.0,19.25,0.43,35.25,1.3,bending1
133,133,133,42.0,0.0,19.0,0.0,36.0,0.0,bending1
134,134,134,42.0,0.0,18.5,0.5,35.25,1.3,bending1
135,135,135,42.0,0.0,18.75,0.43,35.25,1.3,bending1
136,136,136,42.0,0.0,20.0,0.0,36.0,0.0,bending1
137,137,137,42.0,0.0,20.33,0.47,35.33,0.94,bending1
138,138,138,42.0,0.0,21.0,0.0,35.0,1.41,bending1
139,139,139,42.0,0.0,21.0,0.0,35.0,1.22,bending1
140,140,140,42.0,0.0,21.0,0.0,34.5,1.5,bending1
141,141,141,42.0,0.0,21.0,0.0,35.25,1.3,bending1
142,142,142,42.0,0.0,20.5,0.5,35.0,1.41,bending1
143,143,143,42.0,0.0,21.0,0.0,36.0,0.0,bending1
144,144,144,42.0,0.0,20.5,0.5,36.0,0.0,bending1
145,145,145,42.0,0.0,20.25,0.43,34.75,1.3,bending1
146,146,146,42.0,0.0,19.75,0.43,36.0,0.0,bending1
147,147,147,42.0,0.0,19.5,0.5,35.25,1.3,bending1
148,148,148,42.0,0.0,19.75,0.43,36.0,0.0,bending1
149,149,149,42.0,0.0,19.5,0.5,35.25,1.3,bending1
150,150,150,42.0,0.0,20.0,0.71,36.0,0.0,bending1
151,151,151,42.0,0.0,20.0,0.0,36.0,0.0,bending1
152,152,152,42.0,0.0,19.33,0.47,35.0,1.41,bending1
153,153,153,42.0,0.0,21.0,0.0,33.0,0.0,bending1
154,154,154,41.0,1.22,22.5,1.12,33.5,0.87,bending1
155,155,155,39.0,0.82,24.0,0.0,33.0,0.0,bending1
156,156,156,39.0,0.0,24.0,0.0,33.0,0.0,bending1
157,157,157,39.0,0.0,24.0,0.0,33.0,0.0,bending1
158,158,158,39.0,0.0,24.0,0.0,35.75,0.43,bending1
159,159,159,38.75,0.43,24.0,0.0,35.25,1.3,bending1
160,160,160,38.75,0.43,24.0,0.0,35.25,1.3,bending1
161,161,161,38.5,0.5,24.0,0.0,33.75,1.3,bending1
162,162,162,38.5,0.5,24.0,0.0,33.75,1.3,bending1
163,163,163,38.0,1.0,24.0,0.0,33.0,0.0,bending1
164,164,164,38.25,0.83,24.0,0.0,34.0,1.41,bending1
165,165,165,38.5,0.5,24.0,0.0,34.0,1.41,bending1
166,166,166,38.5,0.5,24.0,0.0,36.0,0.0,bending1
167,167,167,38.67,0.47,24.0,0.0,35.0,1.41,bending1
168,168,168,38.75,0.43,24.0,0.0,36.0,0.0,bending1
169,169,169,38.5,0.5,24.75,0.43,35.25,1.3,bending1
170,170,170,38.33,0.47,25.67,0.94,33.0,0.0,bending1
171,171,171,38.75,0.43,24.0,0.0,33.75,1.3,bending1
172,172,172,39.0,0.0,19.25,1.64,36.0,0.0,bending1
173,173,173,39.0,0.0,17.75,0.43,35.25,1.3,bending1
174,174,174,39.5,0.5,15.25,1.79,36.0,0.0,bending1
175,175,175,41.25,0.43,15.0,0.71,36.0,0.0,bending1
176,176,176,41.75,0.43,16.0,0.0,36.0,0.0,bending1
177,177,177,41.25,0.83,14.75,0.43,36.0,0.0,bending1
178,178,178,41.5,0.5,14.25,0.43,36.0,0.0,bending1
179,179,179,41.25,0.83,15.5,0.5,35.25,0.83,bending1
180,180,180,41.25,0.83,16.0,0.0,34.5,1.5,bending1
181,181,181,41.0,1.0,16.0,0.0,35.25,1.3,bending1
182,182,182,41.5,0.5,15.25,0.43,36.0,0.0,bending1
183,183,183,41.25,0.83,16.0,0.0,36.0,0.0,bending1
184,184,184,41.0,1.0,16.0,0.0,36.0,0.0,bending1
185,185,185,40.5,0.5,16.0,0.0,36.0,0.0,bending1
186,186,186,41.0,1.0,16.0,0.0,36.0,0.0,bending1
187,187,187,40.67,0.47,16.0,0.0,36.0,0.0,bending1
188,188,188,40.5,0.5,16.0,0.0,36.0,0.0,bending1
189,189,189,40.75,0.83,16.25,0.43,36.0,0.0,bending1
190,190,190,40.67,0.94,16.0,0.0,36.0,0.0,bending1
191,191,191,40.5,0.5,16.0,0.0,36.0,0.0,bending1
192,192,192,40.5,0.5,15.67,0.47,36.0,0.0,bending1
193,193,193,40.5,0.5,16.0,0.0,36.0,0.0,bending1
194,194,194,40.75,0.83,16.0,0.0,36.0,0.0,bending1
195,195,195,41.0,1.0,17.0,0.0,36.0,0.0,bending1
196,196,196,40.75,0.83,17.0,0.0,36.0,0.0,bending1
197,197,197,40.75,0.83,17.0,0.0,36.0,0.0,bending1
198,198,198,40.5,0.5,17.0,0.0,36.0,0.0,bending1
199,199,199,40.5,0.5,16.75,0.43,36.0,0.0,bending1
200,200,200,40.5,0.5,17.0,0.0,36.0,0.0,bending1
201,201,201,40.5,0.5,16.33,0.47,36.0,0.0,bending1
202,202,202,40.75,0.83,16.67,0.47,36.0,0.0,bending1
203,203,203,40.5,0.5,17.0,0.0,36.0,0.0,bending1
204,204,204,40.5,0.5,16.67,0.47,36.0,0.0,bending1
205,205,205,40.67,0.47,17.0,0.0,36.0,0.0,bending1
206,206,206,40.25,0.83,16.75,0.43,36.0,0.0,bending1
207,207,207,40.33,0.47,17.0,0.0,36.0,0.0,bending1
208,208,208,40.5,0.5,16.67,0.47,36.0,0.0,bending1
209,209,209,40.0,1.0,17.0,0.0,36.0,0.0,bending1
210,210,210,40.25,0.83,16.75,0.43,35.25,1.3,bending1
211,211,211,40.5,0.5,17.0,0.71,36.0,0.0,bending1
212,212,212,40.5,0.5,17.0,0.0,36.0,0.0,bending1
213,213,213,40.5,0.5,18.0,0.0,36.0,0.0,bending1
214,214,214,40.25,0.83,17.25,0.83,36.0,0.0,bending1
215,215,215,40.67,0.47,17.0,0.0,36.0,0.0,bending1
216,216,216,40.5,0.5,16.75,0.43,36.0,0.0,bending1
217,217,217,40.5,0.5,16.0,0.0,35.25,1.3,bending1
218,218,218,40.67,0.47,16.75,0.83,36.0,0.0,bending1
219,219,219,40.67,0.47,17.25,0.83,36.0,0.0,bending1
220,220,220,40.25,0.83,15.25,0.83,33.75,1.3,bending1
221,221,221,40.33,0.47,11.33,2.49,34.5,1.5,bending1
222,222,222,40.25,0.83,4.0,1.22,34.5,1.5,bending1
223,223,223,40.0,1.0,4.0,1.0,34.25,1.3,bending1
224,224,224,40.25,0.83,4.25,2.17,34.5,1.5,bending1
225,225,225,40.25,0.83,5.75,1.3,34.5,1.5,bending1
226,226,226,40.5,0.5,11.0,1.87,35.75,0.43,bending1
227,227,227,40.5,0.5,10.25,2.28,33.75,1.3,bending1
228,228,228,40.0,1.0,10.25,1.92,34.5,1.5,bending1
229,229,229,40.0,1.0,12.0,0.71,35.5,0.87,bending1
230,230,230,39.33,0.47,11.33,0.47,36.0,0.0,bending1
231,231,231,40.0,1.0,9.33,3.09,34.0,1.41,bending1
232,232,232,40.0,0.71,9.25,2.68,33.75,1.3,bending1
233,233,233,40.0,1.0,12.0,0.0,33.75,1.3,bending1
234,234,234,39.33,0.47,10.0,1.87,34.0,1.41,bending1
235,235,235,39.0,0.0,15.33,3.09,36.0,0.0,bending1
236,236,236,39.0,0.0,18.0,0.0,36.0,0.0,bending1
237,237,237,39.0,0.0,18.0,0.0,36.0,0.0,bending1
238,238,238,39.71,0.8,18.92,2.93,36.17,0.37,bending1
239,239,239,39.71,0.8,18.92,2.93,36.17,0.37,bending1
240,240,240,39.5,1.12,22.0,0.82,36.67,0.94,bending1
241,241,241,37.25,1.3,24.0,0.0,37.5,1.5,bending1
242,242,242,38.5,0.5,22.0,1.22,37.0,1.0,bending1
243,243,243,38.75,0.43,21.75,0.83,35.25,1.3,bending1
244,244,244,39.0,0.0,19.75,1.64,32.75,0.43,bending1
245,245,245,39.0,0.0,15.5,4.27,33.75,1.92,bending1
246,246,246,39.25,0.43,22.33,0.94,36.33,0.47,bending1
247,247,247,39.5,0.5,24.0,0.0,36.75,0.83,bending1
248,248,248,39.25,0.43,15.5,1.12,33.5,1.5,bending1
249,249,249,39.33,0.47,19.5,4.39,37.0,0.82,bending1
250,250,250,39.5,0.5,22.0,2.12,36.25,0.43,bending1
251,251,251,39.0,0.0,17.0,1.22,36.0,0.0,bending1
252,252,252,39.33,0.47,17.0,0.0,36.0,0.0,bending1
253,253,253,40.5,0.5,17.75,0.43,36.0,0.0,bending1
254,254,254,39.8,0.75,15.0,1.1,35.25,1.3,bending1
255,255,255,39.33,0.47,12.5,2.5,36.75,0.83,bending1
256,256,256,39.25,0.43,19.25,1.3,37.0,1.0,bending1
257,257,257,39.0,0.0,18.5,2.29,37.0,1.0,bending1
258,258,258,39.0,0.0,13.5,0.5,36.0,0.0,bending1
259,259,259,39.25,0.43,15.0,2.12,36.25,0.43,bending1
260,260,260,40.25,0.83,16.0,1.22,36.5,0.5,bending1
261,261,261,40.75,0.83,11.67,2.36,36.0,0.0,bending1
262,262,262,39.75,0.83,12.75,1.3,36.25,0.43,bending1
263,263,263,39.5,0.5,12.0,2.45,36.0,0.0,bending1
264,264,264,39.5,0.5,10.5,2.96,36.25,0.43,bending1
265,265,265,39.25,0.43,15.25,1.79,35.25,1.3,bending1
266,266,266,39.67,0.47,14.5,1.12,36.0,0.0,bending1
267,267,267,39.5,0.5,9.25,4.55,36.0,0.0,bending1
268,268,268,39.33,0.47,8.0,3.27,36.0,0.0,bending1
269,269,269,39.33,0.47,15.0,0.82,36.0,0.0,bending1
270,270,270,39.75,0.43,18.25,0.83,36.0,0.0,bending1
271,271,271,40.0,1.0,16.75,1.3,36.0,0.0,bending1
272,272,272,40.25,0.83,17.5,1.8,34.5,1.5,bending1
273,273,273,40.5,0.5,19.33,0.47,34.5,1.5,bending1
274,274,274,40.0,1.0,18.33,0.47,35.0,1.41,bending1
275,275,275,39.5,0.5,20.33,0.94,36.0,0.0,bending1
276,276,276,39.33,0.47,22.2,1.47,36.6,0.8,bending1
277,277,277,39.0,0.0,24.0,0.0,37.33,0.94,bending1
278,278,278,38.5,0.5,24.0,0.0,36.5,0.5,bending1
279,279,279,38.5,0.5,23.5,0.5,36.5,0.5,bending1
280,280,280,39.0,0.0,24.0,0.0,36.75,0.83,bending1
281,281,281,38.33,0.47,20.67,2.36,36.0,0.0,bending1
282,282,282,38.0,1.0,14.25,1.3,36.0,0.0,bending1
283,283,283,38.25,0.83,16.25,1.92,36.25,0.43,bending1
284,284,284,38.5,0.5,17.75,1.79,36.0,0.0,bending1
285,285,285,38.0,1.0,12.25,1.09,36.0,0.0,bending1
286,286,286,38.5,0.5,17.25,2.49,36.25,0.43,bending1
287,287,287,38.5,0.5,23.75,0.43,36.75,0.83,bending1
288,288,288,39.0,0.0,24.25,0.43,37.0,1.0,bending1
289,289,289,39.0,0.0,23.67,0.47,36.67,0.94,bending1
290,290,290,39.0,0.0,19.5,1.12,36.25,0.43,bending1
291,291,291,39.0,0.0,21.25,1.79,36.25,0.43,bending1
292,292,292,39.0,0.0,22.25,1.3,35.5,0.87,bending1
293,293,293,39.0,0.0,19.67,1.25,36.0,0.0,bending1
294,294,294,39.0,0.0,21.25,0.43,36.25,0.43,bending1
295,295,295,39.0,0.0,23.5,0.5,36.67,0.47,bending1
296,296,296,39.25,0.43,20.33,0.94,36.0,0.0,bending1
297,297,297,39.0,0.0,20.0,1.0,36.33,0.47,bending1
298,298,298,39.0,0.0,23.5,0.5,36.67,0.94,bending1
299,299,299,39.0,0.0,24.0,0.0,37.0,1.0,bending1
300,300,300,39.0,0.0,24.0,0.0,37.0,1.0,bending1
301,301,301,39.0,0.0,22.67,1.25,36.33,0.47,bending1
302,302,302,38.75,0.43,24.0,0.0,36.75,0.83,bending1
303,303,303,39.0,0.0,25.25,0.83,37.5,1.5,bending1
304,304,304,39.25,0.43,24.0,0.0,37.0,1.0,bending1
305,305,305,39.25,0.43,24.75,0.83,36.5,0.5,bending1
306,306,306,39.0,0.0,26.5,0.5,36.5,0.5,bending1
307,307,307,38.5,0.5,27.25,0.43,36.75,0.83,bending1
308,308,308,38.5,0.5,27.0,0.71,37.25,1.3,bending1
309,309,309,39.0,0.0,24.75,2.28,37.75,1.3,bending1
310,310,310,39.0,0.0,16.25,1.64,36.75,0.83,bending1
311,311,311,39.0,0.0,12.25,2.59,36.0,0.0,bending1
312,312,312,38.5,0.5,12.0,0.0,36.25,0.43,bending1
313,313,313,38.25,0.83,14.0,1.58,36.0,0.0,bending1
314,314,314,38.75,0.43,13.0,1.22,36.25,0.43,bending1
315,315,315,39.0,0.0,18.5,1.5,36.5,0.87,bending1
316,316,316,39.0,0.0,22.0,0.71,37.0,1.0,bending1
317,317,317,39.5,0.5,21.25,0.43,37.0,1.0,bending1
318,318,318,39.5,0.5,21.75,0.43,37.0,1.0,bending1
319,319,319,39.5,0.5,23.5,0.87,37.75,1.3,bending1
320,320,320,39.5,0.5,23.33,0.47,37.67,0.94,bending1
321,321,321,39.5,0.5,23.75,0.43,37.75,1.3,bending1
322,322,322,39.0,0.0,21.0,0.71,37.25,1.3,bending1
323,323,323,39.33,0.47,22.0,1.22,37.33,0.94,bending1
324,324,324,39.0,0.0,25.0,0.82,37.33,1.25,bending1
325,325,325,39.0,0.0,24.0,0.0,37.5,1.12,bending1
326,326,326,39.33,0.47,25.33,1.25,37.25,1.3,bending1
327,327,327,39.0,0.0,25.25,1.09,38.0,1.0,bending1
328,328,328,39.0,0.0,24.0,0.71,38.25,0.83,bending1
329,329,329,39.0,0.0,19.0,1.73,37.0,0.71,bending1
330,330,330,39.0,0.0,18.5,0.5,36.75,0.83,bending1
331,331,331,39.0,0.0,21.75,2.49,38.0,1.22,bending1
332,332,332,39.25,0.43,24.0,0.0,37.5,1.5,bending1
333,333,333,39.0,0.0,21.67,1.7,37.0,0.82,bending1
334,334,334,39.25,0.43,15.0,0.0,36.0,0.0,bending1
335,335,335,39.0,0.0,19.0,2.74,36.5,0.87,bending1
336,336,336,39.0,0.0,22.0,1.22,37.0,1.0,bending1
337,337,337,39.0,0.0,20.0,5.34,38.0,0.82,bending1
338,338,338,39.0,0.0,15.25,2.17,36.5,0.5,bending1
339,339,339,39.0,0.0,21.0,1.87,36.5,0.5,bending1
340,340,340,39.0,0.0,24.0,0.0,37.25,1.3,bending1
341,341,341,39.0,0.0,25.25,0.43,37.75,1.3,bending1
342,342,342,39.0,0.0,23.5,0.87,36.25,0.43,bending1
343,343,343,39.25,0.43,24.0,0.0,36.25,0.43,bending1
344,344,344,39.5,0.5,23.75,0.43,36.0,0.0,bending1
345,345,345,39.0,0.0,23.75,0.43,36.0,0.0,bending1
346,346,346,39.5,0.5,23.25,0.43,36.0,0.0,bending1
347,347,347,39.5,0.5,23.25,0.43,36.0,0.0,bending1
348,348,348,39.25,0.43,23.33,0.47,36.0,0.0,bending1
349,349,349,39.25,0.43,24.0,0.0,36.33,0.47,bending1
350,350,350,39.0,0.0,23.75,0.43,36.5,0.5,bending1
351,351,351,39.67,0.47,24.0,0.0,37.0,0.82,bending1
352,352,352,39.5,0.5,24.0,0.0,36.5,0.5,bending1
353,353,353,39.25,0.43,18.5,4.33,34.5,1.5,bending1
354,354,354,39.0,0.0,21.67,0.94,32.75,0.43,bending1
355,355,355,39.25,0.43,19.75,2.95,32.75,0.43,bending1
356,356,356,38.75,0.43,22.0,1.22,33.0,0.0,bending1
357,357,357,39.0,0.0,14.75,3.7,36.0,1.87,bending1
358,358,358,39.25,0.43,8.75,1.64,35.5,1.5,bending1
359,359,359,39.0,0.0,12.5,1.5,33.0,0.0,bending1
360,360,360,39.0,0.0,10.5,1.66,36.0,1.87,bending1
361,361,361,39.25,0.43,14.0,4.64,36.0,0.0,bending1
362,362,362,39.0,0.0,20.75,0.43,36.25,0.43,bending1
363,363,363,39.0,0.0,18.33,2.49,35.25,1.3,bending1
364,364,364,39.0,0.0,15.5,4.39,34.5,1.5,bending1
365,365,365,39.0,0.0,14.0,1.58,33.75,1.3,bending1
366,366,366,39.25,0.43,11.5,5.5,36.0,0.0,bending1
367,367,367,39.25,0.43,15.25,1.09,36.5,0.5,bending1
368,368,368,39.33,0.47,16.75,1.3,36.33,0.47,bending1
369,369,369,39.25,0.43,12.75,3.77,36.5,0.5,bending1
370,370,370,39.75,0.83,21.0,0.0,37.0,1.22,bending1
371,371,371,39.67,0.47,16.75,1.3,35.33,1.7,bending1
372,372,372,39.0,0.0,17.75,2.28,36.0,0.0,bending1
373,373,373,40.75,1.09,20.75,1.09,35.25,1.3,bending1
374,374,374,40.67,1.25,20.67,1.7,33.0,0.0,bending1
375,375,375,39.75,0.83,18.75,0.83,32.75,0.43,bending1
376,376,376,39.0,0.0,16.75,1.3,32.0,0.0,bending1
377,377,377,39.25,0.43,19.0,1.0,32.5,0.5,bending1
378,378,378,39.75,0.83,18.25,0.43,33.0,0.0,bending1
379,379,379,39.6,0.49,13.0,2.97,32.75,0.43,bending1
380,380,380,39.33,0.47,9.67,2.62,32.5,0.5,bending1
381,381,381,39.25,0.43,9.67,1.7,31.75,0.43,bending1
382,382,382,39.25,0.43,12.75,0.83,32.0,0.0,bending1
383,383,383,39.0,0.0,11.75,1.79,32.0,0.0,bending1
384,384,384,39.0,0.0,11.0,2.74,32.25,0.43,bending1
385,385,385,39.5,0.5,13.75,1.09,32.75,0.43,bending1
386,386,386,39.75,0.83,14.75,0.43,32.5,0.5,bending1
387,387,387,39.25,0.43,13.5,1.12,32.25,0.43,bending1
388,388,388,39.5,0.5,16.75,1.64,32.25,0.43,bending1
389,389,389,39.25,0.43,17.0,1.22,33.0,0.0,bending1
390,390,390,39.25,0.83,21.5,0.87,34.5,1.5,bending1
391,391,391,38.75,0.43,22.0,0.71,35.0,1.22,bending1
392,392,392,39.25,0.43,22.75,1.09,35.25,1.3,bending1
393,393,393,38.33,0.47,16.33,1.7,34.5,1.5,bending1
394,394,394,39.25,0.43,21.25,2.68,32.75,0.43,bending1
395,395,395,39.0,0.71,22.0,0.71,33.0,0.0,bending1
396,396,396,38.5,0.5,21.25,0.43,33.0,0.0,bending1
397,397,397,38.75,0.43,22.0,0.0,33.0,0.0,bending1
398,398,398,39.75,0.83,23.33,0.94,31.33,0.47,bending1
399,399,399,40.5,0.5,23.5,0.5,30.5,0.5,bending1
400,400,400,41.0,0.71,21.0,0.0,30.0,0.0,bending1
401,401,401,42.0,0.0,23.33,0.47,30.5,0.5,bending1
402,402,402,44.0,0.82,26.25,1.92,31.0,0.0,bending1
403,403,403,45.0,0.0,29.5,0.5,30.0,0.0,bending1
404,404,404,45.0,0.0,27.5,0.5,30.0,0.0,bending1
405,405,405,44.67,0.47,25.67,0.47,30.0,0.0,bending1
406,406,406,42.75,1.3,23.75,1.48,29.75,0.43,bending1
407,407,407,42.0,0.0,21.67,0.47,29.67,0.47,bending1
